IssueA,IssueB,value,Description
Invasives,PestsandPathogens,0.7625,"The effect of Invasive Species on Pests and Pathogensogens: As the host species changes (i.e. as invasive plants alter community composition in an ecosystem), the composition of pests and pathogens also changes. Pests are oftentimes invasive themselves.       The effect of Pests and Pathogensogens on Invasive Species: Pests and pathogens can either be endemic to an area, or invasive. Those that are invasive are the ones that are dangerous to a system. Invasive pests and pathogens that change a microenvironment due to tree loss might open up space for invasive plants to come in. Some pathogens actually keep invasive organism populations in check."
Invasives,Recreation,0.9625,"The effect of Invasive Species on Recreation and Green Space: Invasives have the ability to turn green spaces into monocultures. Invasives, therefore, are important to be managed in recreational areas. Invasives impact nature experiences and can affect the quality of recreational opportunities, including fishing and wildflower recreating.       The effect of Recreation and Green Space on Invasive Species: Green space management typically involves invasive species removal. Conversely, the use of green space areas by visitors might facilitate the spread of invasive plants or insects by way of ""hitchhiking""."
Invasives,Restoration,0.925,"The effect of Invasive Species on Restoration: Invasive species are often times a driver for restoration initiatives when people ask the question: ""How do I keep the invasives out?""       The effect of Restoration on Invasive Species: A major component of restoration projects is the removal of invasive species. A quality restored system is resilient to invasions "
Invasives,RisingTemps,0.3,"The effect of Invasive Species on Rising Temperatures: Invasive species in general have little effect on rising temperatures. If invasive pests, like the Emerald Ash Borer, manage to devastate entire stands of trees, it can cause a carbon sink to turn into a carbon source.       The effect of Rising Temperatures on Invasive Species: Rising temperatures influence species ranges by promoting a northward shift in range for many invaders. Native species are susceptible to invasions because they are weakened from living in temperature extremes they are not yet adapted to handle."
Invasives,SoilErosion,0.65,"The effect of Invasive Species on Soil Erosion: Depending on the type of invasive species, certain invasive plants can reduce erosion via their roots, while other invasive plants have a worse grip on the soil than do the native plant species. Furthermore, invasive pests that kill native plants lead to erosion from a loss of vegetative cover.       The effect of Soil Erosion on Invasive Species: Degraded plant health due to eroded soils increases plant susceptibility to invasions. Exposed soil is available to invasive seeds. Some plants planted for soil erosion control are invasive themselves."
Invasives,StormWater,0.775,"The effect of Invasive Species on Stormwater Management: While some invasive vegetation has filtration and absorption capabilities, the majority of invasive plants are less adept at stormwater mitigation than are native plant species.        The effect of Stormwater Management on Invasive Species: Stormwater dispersed seeds and propagules, moving invasives from one location to another. Stormwater can create favorable conditions for certain invasives to flourish (e.g. Phragmites). "
Invasives,Transportation,0.6125,"The effect of Invasive Species on Transportation: The threat of invasives does alter transportation systems in certain ways. A primary effect is that boats, cars, and trains, may need to be inspected for invasive seeds or larvae before taking off.        The effect of Transportation on Invasive Species: Transportation is often times a vector for invasive species, as invasive organisms, seeds, and propagules latch on to boots, boats, or cars."
Invasives,TreeManagement,0.95,"The effect of Invasive Species on Tree Management: Invasive plants and pests have the potential to outcompete and degrade trees planted in urban forests.       The effect of Tree Management on Invasive Species: Urban forests can create habitat for invasives to work their way into. Urban forestry sometimes involves actually planting invasive species as urban plants, which often time come from plant nurseries. Sometimes, urban forestry involves invasive species management and removal. "
Invasives,VulnerableCom,0.275,"The effect of Invasive Species on Vulnerable Communities: Although invasive species generally degrade habitat quality, they can sometimes provide nature access for vulnerable populations.       The effect of Vulnerable Communities on Invasive Species: The lack of resources and time for the management of invasive species in vulnerable communities leads to their persistence, especially near abandoned sites and railways."
Invasives,WarmSeason,0.5375,"The effect of Invasive Species on Warm Season: Tree and vegetation loss from invasive pressures leads to the loss of a carbon sink.       The effect of Warm Season on Invasive Species: The changing warm season climatic patterns creates conditions conducive for the spread and success of invasives in new regions. Although invasives largely enter a new region due to human movement, they are increasingly surviving and thriving due to more suitable and warmer environments. "
Invasives,WaterQuality,0.575,"The effect of Invasive Species on Water Quality: By and large, invasive plants, fish, and pests have myriad effects on water quality. Invasive zebra mussels improve watr quality. Certain invasive plants are better or worse at stormwater filtration, which impacts water quality.        The effect of Water Quality on Invasive Species: Degraded water quality might allow for generalist aquatic invasive species to thrive and outcompete sensitive native species. This has little effect on invasive terrestrial species."
LandUse,Nutrients,0.6,"The effect of Land Use on Nutrient Management: Agricultural land uses have major impacts on nutrients by inputting them into watersheds. Nutrient management plans are a part of land use planning.       The effect of Nutrient Management on Land Use: Nutrient availability has a major impact on agricultural possibilities, but has less impact on urban land uses."
LandUse,PestsandPathogens,0.5,"The effect of Land Use on Pests and Pathogensogens: The more a landscape is developed and degraded, the less resilient it is to pest/pathogen invasions, largely because land use lowers plant diversity.       The effect of Pests and Pathogensogens on Land Use: Landscaping and agriculture are the two main types of land uses that are majorly impacted by pests and pathogens. Pest and pathogen management plans are often implemented; some agricultural sites may be abandoned due to pest pressure."
LandUse,Recreation,0.7625,"The effect of Land Use on Recreation and Green Space: Depending on the land use type, it can prompt integrated or disintegrated green space areas by creating opportunities for recreational spaces.        The effect of Recreation and Green Space on Land Use: Land near green spaces may become more valuable and attractive. Green space areas have impacts on land use possibilities, as they are less likely to be converted to development."
LandUse,Restoration,0.725,The effect of Land Use on Restoration: Land use legacies impact restoration possibilities by changing the landscape and valuation of the land. These changes to the landscape can either make restoration more difficult or even more of a necessitiy.       The effect of Restoration on Land Use: Restored sites make adjacent lands more desirable and valuable. Restoration is often interlinked with land uses in cases of conservation easements. It is difficult to be able to develop in areas adjacent to restoration sites.
LandUse,RisingTemps,0.4,"The effect of Land Use on Rising Temperatures: A substantial amount of carbon emissions come from land use change. Increased impervious surface cover and less vegetation leads to more heat reflection and less shading. Overall, these impacts lead to the global phenomenon of rising temperatures and lead to warmer microclimates, including the urban heat island effect.       The effect of Rising Temperatures on Land Use: Rising temperatures influence the sustainability and growth of agro-ecosystems and croplands. Temperature rise might cause some developers to focus more on building designs and materials for cooling purposes."
LandUse,SoilErosion,0.8,"The effect of Land Use on Soil Erosion: Anytime soil is disturbed or moved from land use it is opened up to being eroded. All land uses lead to erosion of some sort.       The effect of Soil Erosion on Land Use: Soil erosion is something that is mandated to be considered during land use or transportation projects, especially when the project occurs near waterways. "
LandUse,StormWater,0.825,"The effect of Land Use on Stormwater Management: Land use directly changes landscapes and the hydrology of a watershed. Invariable, these changes to the landscape will impact the way in which stormwater travels over the land. Stormwater will become flashier and faster.       The effect of Stormwater Management on Land Use: Stormwater regimes impact the viability of a land for certain land use types. Stormwater management is essential for land use planning, also making it more expensive."
LandUse,Transportation,0.925,The effect of Land Use on Transportation: Land uses necessitate transportation for access. Existing land uses dictate where and how transportation infrastructure is planned and implemented.        The effect of Transportation on Land Use: Existing transportation infrastructure guide land use planning and land valuations. Transit-oriented development means that development follows transit opportunities.
LandUse,TreeManagement,0.7,The effect of Land Use on Tree Management: Urban developers include arborists in the planning process in order to establish an ubran tree canopy.       The effect of Tree Management on Land Use: Urban forests improve the value of urban lands through heat reduction and greenery. The provision of urban trees may be included in land use decision making. 
LandUse,VulnerableCom,0.5125,"The effect of Land Use on Vulnerable Communities: Gentrification as a modern-day land use technique directly impacts the health and food security of the most vulnerable populations, who are disproportionately minorities that live in congested areas that lack access to certain commodities.       The effect of Vulnerable Communities on Land Use: Resource-poor vulnerable communities lack control (a voice) in land use planning. The existence of a vulnerable community in an area may alter development planning (to move away from it), or can require land use planning to consider the vulnerable population by, for instance, implementing public transportation options."
LandUse,WarmSeason,0.575,"The effect of Land Use on Warm Season: Urban land uses have negative microclimate effects mostly, but do contribute to the changing climate globally due to concentrated emissions.       The effect of Warm Season on Land Use: New precipitation and seasonality regimes definitely impact land use planning, as land use planners must build infrastructure that can be resilient to precipitation and temperature extremes. The changign warm season climate has a major impact on the viability of some agricultural land uses."
LandUse,WaterQuality,0.75,"The effect of Land Use on Water Quality: Land use has a major impact on water qualtiy, whether it is from agriculture, industry, urban, or residential development. In all types of land uses, pollutants and eroded soil is likely to enter and pollute waterways.       The effect of Water Quality on Land Use: Water quality issues, or even the presence of pristine water quality, might force people to be more or less conscious of how they affect waterways based on their land uses. "
Nutrients,PestsandPathogens,0.3775,"The effect of Nutrient Management on Pests and Pathogensogens: Because nutrient cycling is critical for plant health, and plant health is critical in plant ability to defend against pests and pathogens, nutrient levels have an indirect impact on pest and pathogen invasions.       The effect of Pests and Pathogensogens on Nutrient Management: Pests and pathogens can impact nutrients in two main ways. First, insect pests that defoliate trees convert plant biomass into available nutrients, which can run out of an ecosystem. Second, pests that decimate tree populations allow for increased runoff speed and increased soil erosion, which facilitates nutrient runoff."
Nutrients,Recreation,0.6375,"The effect of Nutrient Management on Recreation and Green Space: Nutrients (fertilizers) can be applied to green spaces to promote healthy vegetation. In excess, nutrients can worsen water quality in recreational areas, which worsens the green space.       The effect of Recreation and Green Space on Nutrient Management: Green space areas have the ability to filter nutrient runoff, but the degree to which this actually has a noticeable impact depends on whether the green space is located downhill of nutrient input sites. Green space managers can purchase abandoned agricultural fields to convert them into green spaces."
Nutrients,Restoration,0.575,"The effect of Nutrient Management on Restoration: Nutrient issues may be a reason to deploy restoration projects, including wetland and prairies. Furthermore, nutrients that enter restoration sites drive the rate of succession in the restored site and can therefore enhance or worsen the resilience of the site.       The effect of Restoration on Nutrient Management: If a goal of a restoration activity is to improve water quality, it will deliberately attempt to slow nutrient runoff. Restored drainage networks reduce nutrient loading. The scale of the restoration project has much to do with its ability to have a noticeable effect on nutrients."
Nutrients,RisingTemps,0.2875,"The effect of Nutrient Management on Rising Temperatures: Indirectly, nutrients encourage plant growth and plant growth helps to sequester carbon.       The effect of Rising Temperatures on Nutrient Management: Warmer temperatures speed up nutrient cycling as organic matter breaks down quicker and inorganic nutrient products become available. Nutrient timing and uptake is therefore impacted."
Nutrients,SoilErosion,0.8375,"The effect of Nutrient Management on Soil Erosion: Adequate nutrients are required for plant growth which is what stabilizes soil erosion.        The effect of Soil Erosion on Nutrient Management: As soils become eroded, they take nutrients along with them. Areas with eroded soils have altered nutrient management plans. "
Nutrients,StormWater,0.7,"The effect of Nutrient Management on Stormwater Management: Regions with nutrient issues might require altered stormwater management plans. Nutrients themselves though have only a minor impact on stormwater, in that nutrients encourage plant growth which slows surface runoff.       The effect of Stormwater Management on Nutrient Management: Stormwater has a major impact on nutrients as runoff carries nutrients along with it. On ag fields, nutrient loss has more to do with rainfall falling on soils than with stormwater passing through the agricultural site."
Nutrients,Transportation,0.2125,"The effect of Nutrient Management on Transportation: In extreme cases, nutrients can hamper aquatic transportation in cases of HABs.       The effect of Transportation on Nutrient Management: Certain transportation maintenance activities might require nutrients, to a small degree."
Nutrients,TreeManagement,0.375,"The effect of Nutrient Management on Tree Management: Trees normally do not require fertilization unless they live in poor soils.         The effect of Tree Management on Nutrient Management: While urban trees and forests do uptake nutrients, they have only a small importance due to the fact that they do not occur near areas with high nutrient runoff. "
Nutrients,VulnerableCom,0.625,"The effect of Nutrient Management on Vulnerable Communities: Vulnerable populations who have degraded infrastructure and poor wastewater treatment centers are highly susceptible to nutrient-related water quality problems. Additionally, nutrient-rich foods are less available to vulnerable populations, who rely more heavily on processed foods.       The effect of Vulnerable Communities on Nutrient Management: Vulnerable populations may lack the ability to treat excess nutrients because they could lack wastewater treatment plants. Farmers who are considered to be vulnerable populations utilize nutrient applications for crop production."
Nutrients,WarmSeason,0.5375,"The effect of Nutrient Management on Warm Season: Because nutrients encourage plant growth, they are useful in the sequestration of carbon to an extent.       The effect of Warm Season on Nutrient Management: Changing daytime and nighttime temperatures impact the uptake of nutrients by plants. High intensity precipitation events lead to nutrient loss on agricultural sites. These changing conditions affect the timing and amount of nutrient applications that are necessary."
Nutrients,WaterQuality,0.775,"The effect of Nutrient Management on Water Quality: Nutrients have an outstanding impact on water quality as they directly play into aquatic ecological conditions, cause harmful algal blooms, and eutrophy water bodies.       The effect of Water Quality on Nutrient Management: Motivation for improved water quality can lead to more efficient nutrient management and application strategies. Low oxygen events in water bodies (e.g. hypoxia) can cause the remineralization of phosphorus into the water column, feeding into nutrient cycling. This causes increased nutrient loading. "
PestsandPathogens,Recreation,0.8625,"The effect of Pests and Pathogensogens on Recreation and Green Space: Pests and pathogens pose major problems for green space managers, as they negatively impact green spaces by killing vegetation. If large components of a green space are compromised, then the green space is much less enjoyable for recreation.       The effect of Recreation and Green Space on Pests and Pathogensogens: People in parks have been known to transport pests and pathogens with firewood or zebra mussels with boats. A major component of green space management is usually the fight against pests and pathogens."
PestsandPathogens,Restoration,0.65,"The effect of Pests and Pathogensogens on Restoration: Often times, the presence of invasive pests and pathogens might be a driver to restore a system back to its natural function and remove the pressure. Pests and pathogens  pose a threat to the restoration process itself, though, by slowing down progress and introducing an additional layer of complexity to the project.       The effect of Restoration on Pests and Pathogensogens: Restored sites done correctly can limit pests and pathogens by decreasing susceptibility of the native plants and species, typically done by improving biodiversity."
PestsandPathogens,RisingTemps,0.6,"The effect of Pests and Pathogensogens on Rising Temperatures: The reduction of greenery from pests and pathogens leads to a pulse of carbon being released into the atmosphere and the loss of a carbon sink. There is also the loss of microclimate shading benefits from the trees that are killed by pests and pathogens.       The effect of Rising Temperatures on Pests and Pathogensogens: Rising temperatures change the range at which pests and pathogens can thrive in addition to altering the growth rate of host species for pests and pathogens. Increasing temperatures importantly can allow for pests and pathogens to survive over the winter, allowing them to spread farther. Also, pests and pathogens have more life cycles per year in warmer conditions, allowing them to spread farther."
PestsandPathogens,SoilErosion,0.2875,"The effect of Pests and Pathogensogens on Soil Erosion: Indirectly, as pests and pathogens weaken or kill vegetation, erosion rates are enhanced as a lower canopy cover allows more rainfall to reach the ground and less plant roots to stabilize the soil.       The effect of Soil Erosion on Pests and Pathogensogens: Reduced plant growth due to soil erosion removes some hosts for pests and pathogens. Weakened plants due to soil erosion are more susceptible to pests and pathogens."
PestsandPathogens,StormWater,0.3125,The effect of Pests and Pathogensogens on Stormwater Management: Tree loss from pest and pathogen pressure means poor stormwater control and absrobtion.       The effect of Stormwater Management on Pests and Pathogensogens: Stormwater can spread pests and water-borne pathogens. Stormwater that degrades tree health renders vegetation more susceptible to pest and pathogen invasions.
PestsandPathogens,Transportation,0.525,"The effect of Pests and Pathogensogens on Transportation: Pests and pathogens will only impact the transportation system if measures are taken to limit the spread of the pest or pathogen. Examples of human measures include reducing travel overall (COVID-19), inspections of vehicles for invasive pests.       The effect of Transportation on Pests and Pathogensogens: Transportation emissions contribute to the changing climate, which creates high pests and pathogen pressures. More importantly, transportation facilitates the movement and introduction of invasive pests and pathogens."
PestsandPathogens,TreeManagement,0.95,"The effect of Pests and Pathogensogens on Tree Management: Pest and pathogen problems have dramatic effects on urban foretry especially because they are often less biodiverse (more susceptible to invasion) than are natural systems.       The effect of Tree Management on Pests and Pathogensogens: Urban trees are typically planted in stressful conditions which makes them more susceptible to pest and pathogens. Therefore, urban forests can serve as resevoirs or bridges for invasions."
PestsandPathogens,VulnerableCom,0.6,"The effect of Pests and Pathogensogens on Vulnerable Communities: Vulnerable commumnities who are already stressed are disproportionately impacted by pest and pathogens. This is because they have fewer resources to fight against pest and pathogen pressures and poor access to health care in cases of disease transmission.       The effect of Vulnerable Communities on Pests and Pathogensogens: Because vulnerable populations lack resources to manage pests and pathogen outbreaks, they do have an impact on the spread of pests and pathogens."
PestsandPathogens,WarmSeason,0.475,"The effect of Pests and Pathogensogens on Warm Season: Lost greenery due to pest and pathogen pressure has a small impact on the global phenomenon of the changing warm season climate.       The effect of Warm Season on Pests and Pathogensogens: The warming of the warm season and warming of overnight low temperatures allows for the fuerther expanmsion of pests. More water vapor in the atmosphere creates more rainfall, which leads to pathogen spread. Tropical diseases are able to penetrate further North. Warming winters reduces the amount of winter kill of pests. Longer growing seasons allows for pests to have more life cycles in a year. All of these effects lead to heightened pest and pathogen pressures."
PestsandPathogens,WaterQuality,0.7,"The effect of Pests and Pathogensogens on Water Quality: Biological invasions impact the biological quality of the water. Tree loss due to pests and pathogens increases runoff issues, increasing the amount of pollutants that enter into waterways and damage chemical water quality. Tree mortality also alters water temperature from the loss of shading in riparian areas, which affects the physical quality of water.       The effect of Water Quality on Pests and Pathogensogens: Poor water quality supports pests and pathogen spread. Pollutants and sewage can be a vector for pathogens. "
Recreation,Restoration,0.775,The effect of Recreation and Green Space on Restoration: Green space areas provide immense opportunities for restoration initiatives. People using and recreating in green spaces that have been restored might damage the restoration project.       The effect of Restoration on Recreation and Green Space: Restoration improves the aesthetic and monetary values of green space areas. 
Recreation,RisingTemps,0.275,The effect of Recreation and Green Space on Rising Temperatures: Green space areas in urban or suburban environments break up reflectivity and reduce the urban heat island effect slightly. This effect is localized only. Green space areas also have a minimal impact global rising temperatures from carbon sequestration.       The effect of Rising Temperatures on Recreation and Green Space: Rising temperatures may impact green space species composition and phenology in addition to affecting seasonal use patterns.
Recreation,SoilErosion,0.6375,"The effect of Recreation and Green Space on Soil Erosion: Green space areas concentrated around water bodies are important to control erosion and prevent sediment from flowing into streams.        The effect of Soil Erosion on Recreation and Green Space: Eroded soils impact water quality, worsening the quality of the green space for things like enjoyment and fishing."
Recreation,StormWater,0.875,"The effect of Recreation and Green Space on Stormwater Management: Green spaces act as stormwater solutions for some areas as they filter and absorb stormwater.       The effect of Stormwater Management on Recreation and Green Space: Green space accessibility and use is worsened by stormwater and flooding as trails can become closed, and streams can become too flashy for kayaking."
Recreation,Transportation,0.5875,"The effect of Recreation and Green Space on Transportation: Green space areas might alter transportation patterns in several ways. First, by providing alternative transportation options in the form of bike paths. Second, the preservation of parks may limit potential roadways. Third, the cooling effect of trees and the green space may alter where people prefer to drive.       The effect of Transportation on Recreation and Green Space: Transportation impacts green space accessibility. "
Recreation,TreeManagement,1,The effect of Recreation and Green Space on Tree Management: Green space areas and urban forests are sometimes thought to be one in the same. More green space improves the tree canopy.       The effect of Tree Management on Recreation and Green Space: Urban forests provide green spaces. The presence of urban trees (or lack thereof) may make residents more likely to support tax levies that go towards green space preservation.
Recreation,VulnerableCom,0.4,"The effect of Recreation and Green Space on Vulnerable Communities: In urban areas, green space access is very important for vulnerable populations who would benefit from physical and mental health improvement opportunities in the green space.         The effect of Vulnerable Communities on Recreation and Green Space: Membership in a vulnerable community affects recreationand green space area usage."
Recreation,WarmSeason,0.575,"The effect of Recreation and Green Space on Warm Season: Green space areas can sequester carbon and mitigate the changing warm season - slightly. The action of recreating in green spaces might improve environmental and climate awareness. The action of recreating in green spaces often times requires driving to the green space, which leads to carbon emissions.       The effect of Warm Season on Recreation and Green Space: A longer and warmer warm season means that people will seek out more recreation opportunities. Extreme heat can limit recreation. Water quality issues caused by warm season changes can keep people away. The changing warm season alters the growing season, species composition, and phenological patterns of the green space itself."
Recreation,WaterQuality,0.825,"The effect of Recreation and Green Space on Water Quality: Green space areas that are properly planned and managed filter out pollutants before they can enter streams. The people who recreate in green space areas might cause or directly pollute streams, though.        The effect of Water Quality on Recreation and Green Space: Improved water quality and clean rivers (especially those that aren't on fire) improves recreational opportunitites."
Restoration,RisingTemps,0.2,"The effect of Restoration on Rising Temperatures: Restorating natural systems tends to mitigate local temperatures due to tree shading. There is a small impact on a global level.       The effect of Rising Temperatures on Restoration: Rising temperatures cause phenological mismatches in restoration sites, affecting the viability of restored vegetation. Erratic temperature swings are especially detrimental for restoration initiatives."
Restoration,SoilErosion,0.75,"The effect of Restoration on Soil Erosion: Restoration projects can be designed intentionally to limit soil erosion. The construction phase of the project can actually accelerate erosion from the disturbance. Restored wetlands filter eroded sediment.       The effect of Soil Erosion on Restoration: Soil erosion, in addition to being a driver for restoration projects, can reduce the effectivenes of a restored site if it is not properly designed. "
Restoration,StormWater,0.75,"The effect of Restoration on Stormwater Management: Restored sites limit stormwater and moderate flooding by slowing runoff through absorption.       The effect of Stormwater Management on Restoration: Stormwater issues, in addition to being a reason why an area might undergo a restoration process, can make the act of restoration much more difficult. "
Restoration,Transportation,0.4625,"The effect of Restoration on Transportation: Restoration sites impact where roads or railways can exist. Restored areas become a destination, causing roads to be built so that people can access the restored site.       The effect of Transportation on Restoration: Transportation agencies that destroy land for infrastructure are sometimes required to buy into compensatory mitigation projects in which they buy into restoration projects elsewhere. Transportation infrastructure limits the viability and success of restoration projects, or could present an opportunity for restoration."
Restoration,TreeManagement,0.75,"The effect of Restoration on Tree Management: Restored sites improve the tree canopy and call for urban foresters or arborists to be involved in the restoration process.       The effect of Tree Management on Restoration: Urban forests can sometimes be used for minor restoration efforts, especially in riparian zones. "
Restoration,VulnerableCom,0.325,"The effect of Restoration on Vulnerable Communities: Restoration helps to make nature accessible to vulnerable communites. More importantly, restoration improves water and environmental quality for vulnerable communities.       The effect of Vulnerable Communities on Restoration: Disadvantaged communities simlply lack the funds to spend resources on restoration. In some situations, leaders may arise in a vulnerable community to bring people together to clean up an environmental problem."
Restoration,WarmSeason,0.5875,The effect of Restoration on Warm Season: The conversion for example of a parking lot to a praire goes a long way for sequestration and heat mitigation. Restored sites are more resilient to the changing warm season.       The effect of Warm Season on Restoration: Increases in precipitation extremes can make restoration much more difficult. Droughts after seedings can wreck resoration efforts. The changing warm season climate is something that may spur restoration projects and is definitely a factor that must be considered when undergoing restoration projects.
Restoration,WaterQuality,0.875,The effect of Restoration on Water Quality: Restoration greatly improves water quality by filtering pollutants and stabilizing soils.       The effect of Water Quality on Restoration: Poor water quality is often times a driver for restoration. 
RisingTemps,SoilErosion,0.225,"The effect of Rising Temperatures on Soil Erosion: Hot and dry soils from rising temperatures and extreme high temperatures create favorable conditions for soil erosion. Hotter soils must be irrigated, more irrigation leads to erosion.        The effect of Soil Erosion on Rising Temperatures: Soil erosion that leads to vegetation loss can lead to a loss of a carbon sink. As soils become eroded, they can release GHGs that were previously trapped. "
RisingTemps,StormWater,0.3,"The effect of Rising Temperatures on Stormwater Management: Higher temperatures lead to extreme precipitation events (intense rainfall), causing stormwater issues. Changing soil conditions due to rising temperatures alters stormwater regimes.        The effect of Stormwater Management on Rising Temperatures: To a small degree, stormwater issues can result in hydric soils that mediate local temperatures."
RisingTemps,Transportation,0.4,The effect of Rising Temperatures on Transportation: Rising temperatures can cause issues with transportation infrastructure by expanding roadways. High temperatures can influence whether cooling is required for transportation in addition to the methods of transport people may choose.       The effect of Transportation on Rising Temperatures: Transportation emissions lead to the greenhouse gas effect and rising temperatures. 
RisingTemps,TreeManagement,0.6,"The effect of Rising Temperatures on Tree Management: Rising temperatures impact which trees can grow in an area. Higher temperatures cause heightened pest and pathogen pressures, which can contribute to tree kills.        The effect of Tree Management on Rising Temperatures: Urban forests mitigate rising temperatures at a local level (mitigation of the urban heat island effect), but have little impact on  global temperature rise."
RisingTemps,VulnerableCom,0.475,The effect of Rising Temperatures on Vulnerable Communities: Heat waves caused by rising temperatures are especially harmful to vulnerable populations who are more likely to lack access to air conditioning or who work jobs that keep them outdoors.        The effect of Vulnerable Communities on Rising Temperatures: Vulnerable populations tend to have less of an impact on climate change than do the wealthiest communities because they do not have enoigh resources to have a big effect/carbon footprint.
RisingTemps,WarmSeason,0.75,"The effect of Rising Temperatures on Warm Season: Increased temperatures cause more water to be evaporated and transpired, leading to eccentric precipitation patterns.        The effect of Warm Season on Rising Temperatures: Higher water vapor percentages and humidity levels impact daytime and nighttime temperatures, because humidity can trap heat. "
RisingTemps,WaterQuality,0.275,"The effect of Rising Temperatures on Water Quality: Because rising temperatures impact the hydrologic cycle, they can lead to greater amounts of precipitation that carry pollutants into waterways, ultimately degrading water quality. Also, warmer ambient temperatures increase water temperatures.       The effect of Water Quality on Rising Temperatures: There is little to no effect that water quality has on rising temperatures."
SoilErosion,StormWater,0.975,"The effect of Soil Erosion on Stormwater Management: Eroded gulleys create new stormwater pathways that are especially flashy, meaning they have high runoff rates.       The effect of Stormwater Management on Soil Erosion: Stormwater directly causes soil erosion and increases the rate at which soil is eroded. "
SoilErosion,Transportation,0.55,"The effect of Soil Erosion on Transportation: Soil washouts and clogged up waterways can impact roadways, making it harder to travel on some roads.       The effect of Transportation on Soil Erosion: Roadway construction projects cause an immense amount of soil erosion, especially on sloped land surfaces. Transportation departments must devote time and resources to erosion control."
SoilErosion,TreeManagement,0.625,The effect of Soil Erosion on Tree Management: Soil erosion can make it difficult to establish trees in urban areas. Trees can be undercut from erosion.        The effect of Tree Management on Soil Erosion: Properly managed urban forests can slow or halt soil erosion with a strong root system and the cooling of soil temperatures due to shading.
SoilErosion,VulnerableCom,0.575,"The effect of Soil Erosion on Vulnerable Communities: Soil erosion can affect food production systems, which  affect vulnerable populations moreso than others from a nutritional standpoint.       The effect of Vulnerable Communities on Soil Erosion: An immense need for resources and food can burden the food system and food production on agricultural land, this demand and overuse can lead to erosion in food systems."
SoilErosion,WarmSeason,0.54375,"The effect of Soil Erosion on Warm Season: Loss of soil productivity due to erosion will hinder plant growth, leading to a smaller and closing carbon sink.        The effect of Warm Season on Soil Erosion: Intense precipitation events, as the result of the changing warm season climate, that occur early in the season before a crop canopy becomes established, can cause massive soil erosion events. "
SoilErosion,WaterQuality,0.6,"The effect of Soil Erosion on Water Quality: Soil erosion increased turbidity and nutrient loading in waterways, which dramatically impacts water quality. Eoded soil is the number one pollutant in waterways.        The effect of Water Quality on Soil Erosion: Poor water quality could be a reason to initiate land management techniques that control erosion. "
StormWater,Transportation,0.7625,The effect of Stormwater Management on Transportation: Flooding and stormwater issues can make roads impassable and disrupt supply chains. Transportation systems are not resilient and are slow to adapt to these changes.       The effect of Transportation on Stormwater Management: Transportation infrastructure is usually impervious surfaces that create flashy stormwater surges. 
StormWater,TreeManagement,0.825,The effect of Stormwater Management on Tree Management: Flooding kills many trees. Stormwater issues might catalyze urban tree plantings as a means by which to control stormwater.       The effect of Tree Management on Stormwater Management: The tree canopy in urban systems intercepts and reduces peak flow stormwater runoff. 
StormWater,VulnerableCom,0.625,"The effect of Stormwater Management on Vulnerable Communities: Underserved vulnerable communities are more likely to be located on flood planes, therefore are more likely to experience flooding from excess stormwater. They are also more likely to experience negative consequences from combined sewer overflows.       The effect of Vulnerable Communities on Stormwater Management: Although stormwater invariably runs throguh vulnerable areas, these populations lack the resources to control or implement stormwater control methods. Therefore, they contribute to flashy stormwater runoff."
StormWater,WarmSeason,0.5,"The effect of Stormwater Management on Warm Season: Large stormwater events that move soil and disrupt vegetation can limit carbon sequestration.       The effect of Warm Season on Stormwater Management: The changing warm season climate causes high intensity rainfall events, which create stormwater surges and flooding. "
StormWater,WaterQuality,0.575,The effect of Stormwater Management on Water Quality: Stormwater runoff makes a big difference in water quality as it carries sediments and pollutants into waterways.       The effect of Water Quality on Stormwater Management: Poor water quality might be a reason to manage stormwater or implement stormwater management policies. 
Transportation,TreeManagement,0.575,"The effect of Transportation on Tree Management: Transportation infrastructure often times requires tree removal, depleting a tree canopy.        The effect of Tree Management on Transportation: Trees are always a part of transportation infrastructure planning. Trees can shade streets and cool asphalt temperatures and roots can upheave roadways. "
Transportation,VulnerableCom,0.625,"The effect of Transportation on Vulnerable Communities: Transportation (in)access impacts vulnerable communities who lack resources for their own vehicles. It is more difficult for these communtiies to get around to acquire the resources they need for a healthy lifestyle.       The effect of Vulnerable Communities on Transportation: Resource-poor vulnerable populations lack the ability to control transportation management decisions, in addition to creating a massive demand for public transit options. "
Transportation,WarmSeason,0.65,"The effect of Transportation on Warm Season: Emissions that come from transportation lead to the intensification of changing warm season climate effect.       The effect of Warm Season on Transportation: The changing warm season climate impacts transportation infrastructure mostly due to potential disruptions from floodings, impacts to the construction season, and need for public transit or active transportation to curb emissions."
Transportation,WaterQuality,0.4,"The effect of Transportation on Water Quality: Transportation systems, especially those near waterways, are often times sources of pollutants that enter waterways. The salting of roads for snow and ice removal during the winter season causes major water quality issues (high salinity).       The effect of Water Quality on Transportation: There are minimal effects that water quality has on aquatic transportation."
